split,risk_budget,method,metric,mean,ci95,seeds
combined_long_horizon,0.00,receding_horizon_tamp,success,0.00000,0.00000,8
combined_long_horizon,0.00,receding_horizon_tamp,fixed_risk_success,0.00000,0.00000,8
combined_long_horizon,0.00,receding_horizon_tamp,risk_proxy,1.00000,0.00000,8
combined_long_horizon,0.00,commitment_cost_planner_v4,success,0.00000,0.00000,8
combined_long_horizon,0.00,commitment_cost_planner_v4,fixed_risk_success,0.00000,0.00000,8
combined_long_horizon,0.00,commitment_cost_planner_v4,risk_proxy,1.00000,0.00000,8
combined_long_horizon,0.00,beam_search_sequence_planner,success,0.00000,0.00000,8
combined_long_horizon,0.00,beam_search_sequence_planner,fixed_risk_success,0.00000,0.00000,8
combined_long_horizon,0.00,beam_search_sequence_planner,risk_proxy,1.00000,0.00000,8
combined_long_horizon,0.00,topological_base_graph_search,success,0.00000,0.00000,8
combined_long_horizon,0.00,topological_base_graph_search,fixed_risk_success,0.00000,0.00000,8
combined_long_horizon,0.00,topological_base_graph_search,risk_proxy,1.00000,0.00000,8
combined_long_horizon,0.00,robust_backtracking_tamp,success,0.00000,0.00000,8
combined_long_horizon,0.00,robust_backtracking_tamp,fixed_risk_success,0.00000,0.00000,8
combined_long_horizon,0.00,robust_backtracking_tamp,risk_proxy,1.00000,0.00000,8
combined_long_horizon,0.00,spatial_commitment_tree_search_v5,success,0.00000,0.00000,8
combined_long_horizon,0.00,spatial_commitment_tree_search_v5,fixed_risk_success,0.00000,0.00000,8
combined_long_horizon,0.00,spatial_commitment_tree_search_v5,risk_proxy,1.00000,0.00000,8
combined_long_horizon,0.05,receding_horizon_tamp,success,0.00000,0.00000,8
combined_long_horizon,0.05,receding_horizon_tamp,fixed_risk_success,0.00000,0.00000,8
combined_long_horizon,0.05,receding_horizon_tamp,risk_proxy,1.00000,0.00000,8
combined_long_horizon,0.05,commitment_cost_planner_v4,success,0.00000,0.00000,8
combined_long_horizon,0.05,commitment_cost_planner_v4,fixed_risk_success,0.00000,0.00000,8
combined_long_horizon,0.05,commitment_cost_planner_v4,risk_proxy,1.00000,0.00000,8
combined_long_horizon,0.05,beam_search_sequence_planner,success,0.00000,0.00000,8
combined_long_horizon,0.05,beam_search_sequence_planner,fixed_risk_success,0.00000,0.00000,8
combined_long_horizon,0.05,beam_search_sequence_planner,risk_proxy,1.00000,0.00000,8
combined_long_horizon,0.05,topological_base_graph_search,success,0.00000,0.00000,8
combined_long_horizon,0.05,topological_base_graph_search,fixed_risk_success,0.00000,0.00000,8
combined_long_horizon,0.05,topological_base_graph_search,risk_proxy,1.00000,0.00000,8
combined_long_horizon,0.05,robust_backtracking_tamp,success,0.00000,0.00000,8
combined_long_horizon,0.05,robust_backtracking_tamp,fixed_risk_success,0.00000,0.00000,8
combined_long_horizon,0.05,robust_backtracking_tamp,risk_proxy,1.00000,0.00000,8
combined_long_horizon,0.05,spatial_commitment_tree_search_v5,success,0.00000,0.00000,8
combined_long_horizon,0.05,spatial_commitment_tree_search_v5,fixed_risk_success,0.00000,0.00000,8
combined_long_horizon,0.05,spatial_commitment_tree_search_v5,risk_proxy,1.00000,0.00000,8
combined_long_horizon,0.10,receding_horizon_tamp,success,0.00000,0.00000,8
combined_long_horizon,0.10,receding_horizon_tamp,fixed_risk_success,0.00000,0.00000,8
combined_long_horizon,0.10,receding_horizon_tamp,risk_proxy,1.00000,0.00000,8
combined_long_horizon,0.10,commitment_cost_planner_v4,success,0.00000,0.00000,8
combined_long_horizon,0.10,commitment_cost_planner_v4,fixed_risk_success,0.00000,0.00000,8
combined_long_horizon,0.10,commitment_cost_planner_v4,risk_proxy,1.00000,0.00000,8
combined_long_horizon,0.10,beam_search_sequence_planner,success,0.00000,0.00000,8
combined_long_horizon,0.10,beam_search_sequence_planner,fixed_risk_success,0.00000,0.00000,8
combined_long_horizon,0.10,beam_search_sequence_planner,risk_proxy,1.00000,0.00000,8
combined_long_horizon,0.10,topological_base_graph_search,success,0.00000,0.00000,8
combined_long_horizon,0.10,topological_base_graph_search,fixed_risk_success,0.00000,0.00000,8
combined_long_horizon,0.10,topological_base_graph_search,risk_proxy,1.00000,0.00000,8
combined_long_horizon,0.10,robust_backtracking_tamp,success,0.00000,0.00000,8
combined_long_horizon,0.10,robust_backtracking_tamp,fixed_risk_success,0.00000,0.00000,8
combined_long_horizon,0.10,robust_backtracking_tamp,risk_proxy,1.00000,0.00000,8
combined_long_horizon,0.10,spatial_commitment_tree_search_v5,success,0.00000,0.00000,8
combined_long_horizon,0.10,spatial_commitment_tree_search_v5,fixed_risk_success,0.00000,0.00000,8
combined_long_horizon,0.10,spatial_commitment_tree_search_v5,risk_proxy,1.00000,0.00000,8
combined_long_horizon,0.20,receding_horizon_tamp,success,0.00000,0.00000,8
combined_long_horizon,0.20,receding_horizon_tamp,fixed_risk_success,0.00000,0.00000,8
combined_long_horizon,0.20,receding_horizon_tamp,risk_proxy,1.00000,0.00000,8
combined_long_horizon,0.20,commitment_cost_planner_v4,success,0.00000,0.00000,8
combined_long_horizon,0.20,commitment_cost_planner_v4,fixed_risk_success,0.00000,0.00000,8
combined_long_horizon,0.20,commitment_cost_planner_v4,risk_proxy,1.00000,0.00000,8
combined_long_horizon,0.20,beam_search_sequence_planner,success,0.00000,0.00000,8
combined_long_horizon,0.20,beam_search_sequence_planner,fixed_risk_success,0.00000,0.00000,8
combined_long_horizon,0.20,beam_search_sequence_planner,risk_proxy,1.00000,0.00000,8
combined_long_horizon,0.20,topological_base_graph_search,success,0.00000,0.00000,8
combined_long_horizon,0.20,topological_base_graph_search,fixed_risk_success,0.00000,0.00000,8
combined_long_horizon,0.20,topological_base_graph_search,risk_proxy,1.00000,0.00000,8
combined_long_horizon,0.20,robust_backtracking_tamp,success,0.00000,0.00000,8
combined_long_horizon,0.20,robust_backtracking_tamp,fixed_risk_success,0.00000,0.00000,8
