split,method,seed,episodes,success,task_success_rate,future_regret,commitment_violation,base_collision,arm_collision,swing_block,approach_occlusion,reposition_count,path_length,risk_proxy
aggregate_hard_regime,commitment_cost_planner_v4,1,60,0.31667,0.43028,0.68333,0.05000,0.00000,0.00000,0.00000,0.00000,1.31667,0.97673,0.68982
aggregate_hard_regime,commitment_cost_planner_v4,2,60,0.35000,0.45306,0.65000,0.05000,0.00000,0.00000,0.00000,0.00000,1.45000,1.08302,0.65798
aggregate_hard_regime,commitment_cost_planner_v4,3,60,0.30000,0.44722,0.70000,0.06667,0.00000,0.00000,0.00000,0.00000,1.38333,1.07592,0.70608
aggregate_hard_regime,commitment_cost_planner_v4,4,60,0.35000,0.45083,0.65000,0.05000,0.00000,0.00000,0.00000,0.00000,1.41667,1.11225,0.65772
aggregate_hard_regime,commitment_cost_planner_v4,5,60,0.31667,0.41694,0.68333,0.03333,0.00000,0.00000,0.00000,0.00000,1.31667,0.97516,0.69009
aggregate_hard_regime,commitment_cost_planner_v4,6,60,0.26667,0.41889,0.73333,0.06667,0.00000,0.00000,0.00000,0.00000,1.33333,0.98687,0.73855
aggregate_hard_regime,commitment_cost_planner_v4,7,60,0.26667,0.44111,0.73333,0.05000,0.00000,0.00000,0.00000,0.00000,1.41667,1.08574,0.73860
aggregate_hard_regime,rollout_mpc_depth2,0,60,0.38333,0.44583,0.61667,0.08333,0.00000,0.00000,0.00000,0.00000,1.41667,1.16710,0.62555
aggregate_hard_regime,rollout_mpc_depth2,1,60,0.38333,0.44694,0.61667,0.05000,0.00000,0.00000,0.00000,0.00000,1.38333,1.09125,0.62540
aggregate_hard_regime,rollout_mpc_depth2,2,60,0.40000,0.46556,0.60000,0.05000,0.00000,0.00000,0.00000,0.00000,1.50000,1.17190,0.60973
aggregate_hard_regime,rollout_mpc_depth2,3,60,0.38333,0.47139,0.61667,0.06667,0.00000,0.00000,0.00000,0.00000,1.48333,1.24702,0.62548
aggregate_hard_regime,rollout_mpc_depth2,4,60,0.40000,0.46333,0.60000,0.05000,0.00000,0.00000,0.00000,0.00000,1.46667,1.20076,0.60945
aggregate_hard_regime,rollout_mpc_depth2,5,60,0.40000,0.43778,0.60000,0.03333,0.00000,0.00000,0.00000,0.00000,1.40000,1.12180,0.60954
aggregate_hard_regime,rollout_mpc_depth2,6,60,0.40000,0.45889,0.60000,0.06667,0.00000,0.00000,0.00000,0.00000,1.50000,1.26944,0.60955
aggregate_hard_regime,rollout_mpc_depth2,7,60,0.40000,0.47444,0.60000,0.05000,0.00000,0.00000,0.00000,0.00000,1.55000,1.31799,0.60966
aggregate_hard_regime,beam_search_sequence_planner,0,60,0.38333,0.44583,0.61667,0.08333,0.00000,0.00000,0.00000,0.00000,1.41667,1.16710,0.62555
aggregate_hard_regime,beam_search_sequence_planner,1,60,0.38333,0.44694,0.61667,0.05000,0.00000,0.00000,0.00000,0.00000,1.38333,1.09694,0.62540
aggregate_hard_regime,beam_search_sequence_planner,2,60,0.40000,0.46556,0.60000,0.05000,0.00000,0.00000,0.00000,0.00000,1.50000,1.17820,0.60973
aggregate_hard_regime,beam_search_sequence_planner,3,60,0.38333,0.47139,0.61667,0.06667,0.00000,0.00000,0.00000,0.00000,1.46667,1.26348,0.62538
aggregate_hard_regime,beam_search_sequence_planner,4,60,0.40000,0.46333,0.60000,0.05000,0.00000,0.00000,0.00000,0.00000,1.46667,1.20720,0.60945
aggregate_hard_regime,beam_search_sequence_planner,5,60,0.40000,0.43778,0.60000,0.03333,0.00000,0.00000,0.00000,0.00000,1.40000,1.12744,0.60954
aggregate_hard_regime,beam_search_sequence_planner,6,60,0.40000,0.45889,0.60000,0.06667,0.00000,0.00000,0.00000,0.00000,1.50000,1.26944,0.60955
aggregate_hard_regime,beam_search_sequence_planner,7,60,0.40000,0.47444,0.60000,0.05000,0.00000,0.00000,0.00000,0.00000,1.55000,1.31799,0.60966
aggregate_hard_regime,topological_base_graph_search,0,60,0.38333,0.44583,0.61667,0.08333,0.00000,0.00000,0.00000,0.00000,1.38333,1.13408,0.62535
aggregate_hard_regime,topological_base_graph_search,1,60,0.38333,0.44694,0.61667,0.05000,0.00000,0.00000,0.00000,0.00000,1.38333,1.07180,0.62540
aggregate_hard_regime,topological_base_graph_search,2,60,0.40000,0.46556,0.60000,0.05000,0.00000,0.00000,0.00000,0.00000,1.48333,1.14911,0.60963
aggregate_hard_regime,topological_base_graph_search,3,60,0.38333,0.47139,0.61667,0.06667,0.00000,0.00000,0.00000,0.00000,1.46667,1.23076,0.62538
aggregate_hard_regime,topological_base_graph_search,4,60,0.40000,0.46333,0.60000,0.05000,0.00000,0.00000,0.00000,0.00000,1.43333,1.17542,0.60925
aggregate_hard_regime,topological_base_graph_search,5,60,0.40000,0.43778,0.60000,0.03333,0.00000,0.00000,0.00000,0.00000,1.38333,1.10360,0.60944
aggregate_hard_regime,topological_base_graph_search,6,60,0.40000,0.45889,0.60000,0.06667,0.00000,0.00000,0.00000,0.00000,1.48333,1.23260,0.60945
aggregate_hard_regime,topological_base_graph_search,7,60,0.40000,0.47444,0.60000,0.05000,0.00000,0.00000,0.00000,0.00000,1.55000,1.27969,0.60966
aggregate_hard_regime,robust_backtracking_tamp,0,60,0.40000,0.45000,0.60000,0.06667,0.00000,0.00000,0.00000,0.00000,1.43333,1.20407,0.60941
aggregate_hard_regime,robust_backtracking_tamp,1,60,0.38333,0.44694,0.61667,0.05000,0.00000,0.00000,0.00000,0.00000,1.38333,1.09694,0.62540
aggregate_hard_regime,robust_backtracking_tamp,2,60,0.40000,0.46556,0.60000,0.05000,0.00000,0.00000,0.00000,0.00000,1.50000,1.17820,0.60973
aggregate_hard_regime,robust_backtracking_tamp,3,60,0.38333,0.47139,0.61667,0.06667,0.00000,0.00000,0.00000,0.00000,1.46667,1.26348,0.62538
aggregate_hard_regime,robust_backtracking_tamp,4,60,0.40000,0.46333,0.60000,0.05000,0.00000,0.00000,0.00000,0.00000,1.46667,1.20720,0.60945
aggregate_hard_regime,robust_backtracking_tamp,5,60,0.40000,0.43778,0.60000,0.03333,0.00000,0.00000,0.00000,0.00000,1.40000,1.12744,0.60954
aggregate_hard_regime,robust_backtracking_tamp,6,60,0.40000,0.45889,0.60000,0.06667,0.00000,0.00000,0.00000,0.00000,1.50000,1.26944,0.60955
aggregate_hard_regime,robust_backtracking_tamp,7,60,0.40000,0.47444,0.60000,0.05000,0.00000,0.00000,0.00000,0.00000,1.55000,1.31799,0.60966
