split,reference_method,comparison_method,metric,paired_diff,ci95,reference_better_seeds,seeds
adversarial_dead_end,spatial_commitment_tree_search_v5,receding_horizon_tamp,success,0.00000,0.00000,0,8
adversarial_dead_end,spatial_commitment_tree_search_v5,receding_horizon_tamp,task_success_rate,0.00000,0.00000,0,8
adversarial_dead_end,spatial_commitment_tree_search_v5,receding_horizon_tamp,future_regret,0.00000,0.00000,0,8
adversarial_dead_end,spatial_commitment_tree_search_v5,receding_horizon_tamp,commitment_violation,0.00000,0.00000,0,8
adversarial_dead_end,spatial_commitment_tree_search_v5,receding_horizon_tamp,reposition_count,0.00000,0.00000,0,8
adversarial_dead_end,spatial_commitment_tree_search_v5,receding_horizon_tamp,path_length,0.00000,0.00000,0,8
adversarial_dead_end,spatial_commitment_tree_search_v5,commitment_cost_planner_v4,success,0.00000,0.00000,0,8
adversarial_dead_end,spatial_commitment_tree_search_v5,commitment_cost_planner_v4,task_success_rate,0.00000,0.00000,0,8
adversarial_dead_end,spatial_commitment_tree_search_v5,commitment_cost_planner_v4,future_regret,0.00000,0.00000,0,8
adversarial_dead_end,spatial_commitment_tree_search_v5,commitment_cost_planner_v4,commitment_violation,0.00000,0.00000,0,8
adversarial_dead_end,spatial_commitment_tree_search_v5,commitment_cost_planner_v4,reposition_count,0.00000,0.00000,0,8
adversarial_dead_end,spatial_commitment_tree_search_v5,commitment_cost_planner_v4,path_length,0.00000,0.00000,0,8
adversarial_dead_end,spatial_commitment_tree_search_v5,beam_search_sequence_planner,success,0.00000,0.00000,0,8
adversarial_dead_end,spatial_commitment_tree_search_v5,beam_search_sequence_planner,task_success_rate,0.00000,0.00000,0,8
adversarial_dead_end,spatial_commitment_tree_search_v5,beam_search_sequence_planner,future_regret,0.00000,0.00000,0,8
adversarial_dead_end,spatial_commitment_tree_search_v5,beam_search_sequence_planner,commitment_violation,0.00000,0.00000,0,8
adversarial_dead_end,spatial_commitment_tree_search_v5,beam_search_sequence_planner,reposition_count,0.00000,0.00000,0,8
