split,method,seed,episodes,success,task_success_rate,future_regret,base_collision,arm_collision,swing_block,reposition_count,path_length
cluttered_reach_occlusion,greedy_current_reach,0,10,0.60000,0.66667,0.40000,0.00000,0.00000,0.00000,2.00000,1.54607
cluttered_reach_occlusion,greedy_current_reach,1,10,0.50000,0.50000,0.50000,0.00000,0.00000,0.00000,1.50000,1.15492
cluttered_reach_occlusion,greedy_current_reach,2,10,0.50000,0.63333,0.50000,0.00000,0.00000,0.00000,1.90000,1.43736
cluttered_reach_occlusion,greedy_current_reach,3,10,0.40000,0.40000,0.60000,0.00000,0.00000,0.00000,1.20000,0.92864
cluttered_reach_occlusion,greedy_current_reach,4,10,0.40000,0.53333,0.60000,0.00000,0.00000,0.00000,1.60000,1.19612
cluttered_reach_occlusion,greedy_current_reach,5,10,0.30000,0.30000,0.70000,0.00000,0.00000,0.00000,0.90000,0.70128
cluttered_reach_occlusion,greedy_current_reach,6,10,0.60000,0.66667,0.40000,0.00000,0.00000,0.00000,2.00000,1.54062
cluttered_reach_occlusion,navigation_then_manipulation,0,10,0.50000,0.56667,0.00000,0.00000,0.50000,0.00000,1.70000,1.29383
cluttered_reach_occlusion,navigation_then_manipulation,1,10,0.40000,0.40000,0.00000,0.00000,0.60000,0.00000,1.20000,0.90900
cluttered_reach_occlusion,navigation_then_manipulation,2,10,0.30000,0.43333,0.00000,0.00000,0.70000,0.00000,1.30000,0.98273
cluttered_reach_occlusion,navigation_then_manipulation,3,10,0.40000,0.40000,0.00000,0.00000,0.60000,0.00000,1.20000,0.91960
cluttered_reach_occlusion,navigation_then_manipulation,4,10,0.40000,0.53333,0.00000,0.00000,0.60000,0.00000,1.60000,1.18598
cluttered_reach_occlusion,navigation_then_manipulation,5,10,0.30000,0.30000,0.00000,0.00000,0.70000,0.00000,0.90000,0.65834
cluttered_reach_occlusion,navigation_then_manipulation,6,10,0.60000,0.66667,0.00000,0.00000,0.40000,0.00000,2.00000,1.53149
cluttered_reach_occlusion,reachability_margin_sampler,0,10,0.60000,0.66667,0.40000,0.00000,0.00000,0.00000,2.00000,1.60671
cluttered_reach_occlusion,reachability_margin_sampler,1,10,0.50000,0.50000,0.50000,0.00000,0.00000,0.00000,1.50000,1.15028
cluttered_reach_occlusion,reachability_margin_sampler,2,10,0.50000,0.63333,0.50000,0.00000,0.00000,0.00000,1.90000,1.49710
cluttered_reach_occlusion,reachability_margin_sampler,3,10,0.40000,0.40000,0.60000,0.00000,0.00000,0.00000,1.20000,0.94412
cluttered_reach_occlusion,reachability_margin_sampler,4,10,0.40000,0.53333,0.60000,0.00000,0.00000,0.00000,1.60000,1.28019
cluttered_reach_occlusion,reachability_margin_sampler,5,10,0.30000,0.30000,0.70000,0.00000,0.00000,0.00000,0.90000,0.74935
