split,reference_method,comparison_method,metric,paired_diff,ci95,reference_better_seeds,seeds
aggregate_hard_regime,spatial_commitment_tree_search_v5,receding_horizon_tamp,success,0.00208,0.00408,1,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,receding_horizon_tamp,task_success_rate,0.00052,0.00102,1,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,receding_horizon_tamp,future_regret,-0.00208,0.00408,1,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,receding_horizon_tamp,commitment_violation,-0.00208,0.00408,1,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,receding_horizon_tamp,reposition_count,-0.01250,0.01024,4,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,receding_horizon_tamp,path_length,-0.01079,0.00723,7,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,commitment_cost_planner_v4,success,0.08541,0.02263,8,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,commitment_cost_planner_v4,task_success_rate,0.02260,0.00676,8,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,commitment_cost_planner_v4,future_regret,-0.08541,0.02263,8,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,commitment_cost_planner_v4,commitment_violation,-0.00208,0.00408,1,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,commitment_cost_planner_v4,reposition_count,0.07708,0.03597,0,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,commitment_cost_planner_v4,path_length,0.14514,0.04699,0,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,beam_search_sequence_planner,success,0.00208,0.00408,1,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,beam_search_sequence_planner,task_success_rate,0.00052,0.00102,1,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,beam_search_sequence_planner,future_regret,-0.00208,0.00408,1,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,beam_search_sequence_planner,commitment_violation,-0.00208,0.00408,1,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,beam_search_sequence_planner,reposition_count,-0.01042,0.01225,4,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,beam_search_sequence_planner,path_length,-0.01585,0.00950,7,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,topological_base_graph_search,success,0.00208,0.00408,1,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,topological_base_graph_search,task_success_rate,0.00052,0.00102,1,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,topological_base_graph_search,future_regret,-0.00208,0.00408,1,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,topological_base_graph_search,commitment_violation,-0.00208,0.00408,1,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,topological_base_graph_search,reposition_count,0.00417,0.00817,1,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,topological_base_graph_search,path_length,0.01549,0.01078,1,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,robust_backtracking_tamp,success,0.00000,0.00000,0,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,robust_backtracking_tamp,task_success_rate,0.00000,0.00000,0,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,robust_backtracking_tamp,future_regret,0.00000,0.00000,0,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,robust_backtracking_tamp,commitment_violation,0.00000,0.00000,0,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,robust_backtracking_tamp,reposition_count,-0.01250,0.01345,4,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,robust_backtracking_tamp,path_length,-0.02047,0.00433,8,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,exact_sequence_oracle,success,0.00000,0.00000,0,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,exact_sequence_oracle,task_success_rate,0.00000,0.00000,0,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,exact_sequence_oracle,future_regret,0.00000,0.00000,0,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,exact_sequence_oracle,commitment_violation,-0.00208,0.00408,1,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,exact_sequence_oracle,reposition_count,-0.01458,0.01145,4,8
aggregate_hard_regime,spatial_commitment_tree_search_v5,exact_sequence_oracle,path_length,-0.01425,0.00302,8,8
