split,seed,episode_id,method,success,task_success_rate,completed_tasks,total_tasks,future_regret,commitment_violation,risk_proxy,base_collision,arm_collision,swing_block,approach_occlusion,reposition_count,path_length,aisle_trap_events,swing_block_events,approach_occlusion_events,relocation_dead_end_events,aisle_width,clutter_density,future_ambiguity,relocation_pressure,failure_label,description
open_room_easy,0,0,greedy_current_reach,1,1.00000,3,3,0,0,0.01200,0,0,0,0,2,1.33077,0,0,0,0,1.18000,0.00000,0.00000,0.00000,success,open room with weak spatial commitments
open_room_easy,0,0,navigation_then_manipulation,1,1.00000,3,3,0,0,0.01800,0,0,0,0,3,1.71503,0,0,0,0,1.18000,0.00000,0.00000,0.00000,success,open room with weak spatial commitments
open_room_easy,0,0,reachability_margin_sampler,1,1.00000,3,3,0,0,0.01800,0,0,0,0,3,2.03457,0,0,0,0,1.18000,0.00000,0.00000,0.00000,success,open room with weak spatial commitments
open_room_easy,0,0,receding_horizon_tamp,1,1.00000,3,3,0,0,0.01200,0,0,0,0,2,1.33077,0,0,0,0,1.18000,0.00000,0.00000,0.00000,success,open room with weak spatial commitments
open_room_easy,0,0,commitment_cost_planner_v4,1,1.00000,3,3,0,0,0.01200,0,0,0,0,2,1.33077,0,0,0,0,1.18000,0.00000,0.00000,0.00000,success,open room with weak spatial commitments
open_room_easy,0,0,rollout_mpc_depth2,1,1.00000,3,3,0,0,0.01200,0,0,0,0,2,1.33077,0,0,0,0,1.18000,0.00000,0.00000,0.00000,success,open room with weak spatial commitments
open_room_easy,0,0,beam_search_sequence_planner,1,1.00000,3,3,0,0,0.01200,0,0,0,0,2,1.33077,0,0,0,0,1.18000,0.00000,0.00000,0.00000,success,open room with weak spatial commitments
open_room_easy,0,0,topological_base_graph_search,1,1.00000,3,3,0,0,0.01200,0,0,0,0,2,1.33077,0,0,0,0,1.18000,0.00000,0.00000,0.00000,success,open room with weak spatial commitments
open_room_easy,0,0,robust_backtracking_tamp,1,1.00000,3,3,0,0,0.01200,0,0,0,0,2,1.33077,0,0,0,0,1.18000,0.00000,0.00000,0.00000,success,open room with weak spatial commitments
open_room_easy,0,0,spatial_commitment_tree_search_v5,1,1.00000,3,3,0,0,0.01200,0,0,0,0,2,1.33077,0,0,0,0,1.18000,0.00000,0.00000,0.00000,success,open room with weak spatial commitments
open_room_easy,0,0,exact_sequence_oracle,1,1.00000,3,3,0,0,0.01200,0,0,0,0,2,1.33077,0,0,0,0,1.18000,0.00000,0.00000,0.00000,success,open room with weak spatial commitments
open_room_easy,0,1,greedy_current_reach,1,1.00000,3,3,0,0,0.01800,0,0,0,0,3,1.97850,0,0,0,0,1.18000,0.00000,0.00000,0.00000,success,open room with weak spatial commitments
open_room_easy,0,1,navigation_then_manipulation,1,1.00000,3,3,0,0,0.01800,0,0,0,0,3,1.70984,0,0,0,0,1.18000,0.00000,0.00000,0.00000,success,open room with weak spatial commitments
open_room_easy,0,1,reachability_margin_sampler,1,1.00000,3,3,0,0,0.01200,0,0,0,0,2,1.49509,0,0,0,0,1.18000,0.00000,0.00000,0.00000,success,open room with weak spatial commitments
