split,ablation,seed,episodes,success,future_regret,commitment_violation,risk_proxy
combined_long_horizon,spatial_commitment_v5_full,0,10,0.00000,1.00000,0.40000,1.00000
combined_long_horizon,spatial_commitment_v5_full,1,10,0.00000,1.00000,0.20000,1.00000
combined_long_horizon,spatial_commitment_v5_full,2,10,0.00000,1.00000,0.20000,1.00000
combined_long_horizon,spatial_commitment_v5_full,3,10,0.00000,1.00000,0.30000,1.00000
combined_long_horizon,spatial_commitment_v5_full,4,10,0.00000,1.00000,0.30000,1.00000
combined_long_horizon,spatial_commitment_v5_full,5,10,0.00000,1.00000,0.20000,1.00000
combined_long_horizon,spatial_commitment_v5_full,6,10,0.00000,1.00000,0.40000,1.00000
combined_long_horizon,spatial_commitment_v5_full,7,10,0.00000,1.00000,0.30000,1.00000
combined_long_horizon,no_future_loss,0,10,0.00000,1.00000,0.40000,1.00000
combined_long_horizon,no_future_loss,1,10,0.00000,1.00000,0.20000,1.00000
combined_long_horizon,no_future_loss,2,10,0.00000,1.00000,0.20000,1.00000
combined_long_horizon,no_future_loss,3,10,0.00000,1.00000,0.30000,1.00000
combined_long_horizon,no_future_loss,4,10,0.00000,1.00000,0.30000,1.00000
combined_long_horizon,no_future_loss,5,10,0.00000,1.00000,0.20000,1.00000
combined_long_horizon,no_future_loss,6,10,0.00000,1.00000,0.40000,1.00000
combined_long_horizon,no_future_loss,7,10,0.00000,1.00000,0.30000,1.00000
combined_long_horizon,no_commitment_state,0,10,0.00000,1.00000,0.00000,1.00000
combined_long_horizon,no_commitment_state,1,10,0.00000,1.00000,0.00000,1.00000
combined_long_horizon,no_commitment_state,2,10,0.00000,1.00000,0.00000,1.00000
combined_long_horizon,no_commitment_state,3,10,0.00000,1.00000,0.00000,1.00000
combined_long_horizon,no_commitment_state,4,10,0.00000,1.00000,0.00000,1.00000
combined_long_horizon,no_commitment_state,5,10,0.00000,1.00000,0.00000,1.00000
combined_long_horizon,no_commitment_state,6,10,0.00000,1.00000,0.00000,1.00000
combined_long_horizon,no_commitment_state,7,10,0.00000,1.00000,0.00000,1.00000
combined_long_horizon,no_backtracking,0,10,0.00000,1.00000,0.40000,1.00000
combined_long_horizon,no_backtracking,1,10,0.00000,1.00000,0.20000,1.00000
combined_long_horizon,no_backtracking,2,10,0.00000,1.00000,0.20000,1.00000
combined_long_horizon,no_backtracking,3,10,0.00000,1.00000,0.30000,1.00000
combined_long_horizon,no_backtracking,4,10,0.00000,1.00000,0.30000,1.00000
combined_long_horizon,no_backtracking,5,10,0.00000,1.00000,0.20000,1.00000
combined_long_horizon,no_backtracking,6,10,0.00000,1.00000,0.40000,1.00000
combined_long_horizon,no_backtracking,7,10,0.00000,1.00000,0.30000,1.00000
combined_long_horizon,no_beam_diversity,0,10,0.00000,1.00000,0.40000,1.00000
combined_long_horizon,no_beam_diversity,1,10,0.00000,1.00000,0.20000,1.00000
combined_long_horizon,no_beam_diversity,2,10,0.00000,1.00000,0.20000,1.00000
combined_long_horizon,no_beam_diversity,3,10,0.00000,1.00000,0.30000,1.00000
combined_long_horizon,no_beam_diversity,4,10,0.00000,1.00000,0.30000,1.00000
combined_long_horizon,no_beam_diversity,5,10,0.00000,1.00000,0.20000,1.00000
combined_long_horizon,no_beam_diversity,6,10,0.00000,1.00000,0.40000,1.00000
combined_long_horizon,no_beam_diversity,7,10,0.00000,1.00000,0.30000,1.00000
combined_long_horizon,one_step_only,0,10,0.00000,1.00000,0.40000,1.00000
combined_long_horizon,one_step_only,1,10,0.00000,1.00000,0.20000,1.00000
combined_long_horizon,one_step_only,2,10,0.00000,1.00000,0.20000,1.00000
combined_long_horizon,one_step_only,3,10,0.00000,1.00000,0.30000,1.00000
combined_long_horizon,one_step_only,4,10,0.00000,1.00000,0.30000,1.00000
combined_long_horizon,one_step_only,5,10,0.00000,1.00000,0.20000,1.00000
combined_long_horizon,one_step_only,6,10,0.00000,1.00000,0.40000,1.00000
combined_long_horizon,one_step_only,7,10,0.00000,1.00000,0.30000,1.00000
combined_long_horizon,no_swing_cost,0,10,0.00000,1.00000,0.40000,1.00000
combined_long_horizon,no_swing_cost,1,10,0.00000,1.00000,0.20000,1.00000
combined_long_horizon,no_swing_cost,2,10,0.00000,1.00000,0.20000,1.00000
combined_long_horizon,no_swing_cost,3,10,0.00000,1.00000,0.30000,1.00000
combined_long_horizon,no_swing_cost,4,10,0.00000,1.00000,0.30000,1.00000
combined_long_horizon,no_swing_cost,5,10,0.00000,1.00000,0.20000,1.00000
combined_long_horizon,no_swing_cost,6,10,0.00000,1.00000,0.40000,1.00000
combined_long_horizon,no_swing_cost,7,10,0.00000,1.00000,0.30000,1.00000
combined_long_horizon,no_aisle_cost,0,10,0.00000,1.00000,0.40000,1.00000
combined_long_horizon,no_aisle_cost,1,10,0.00000,1.00000,0.20000,1.00000
combined_long_horizon,no_aisle_cost,2,10,0.00000,1.00000,0.20000,1.00000
combined_long_horizon,no_aisle_cost,3,10,0.00000,1.00000,0.30000,1.00000
combined_long_horizon,no_aisle_cost,4,10,0.00000,1.00000,0.30000,1.00000
combined_long_horizon,no_aisle_cost,5,10,0.00000,1.00000,0.20000,1.00000
combined_long_horizon,no_aisle_cost,6,10,0.00000,1.00000,0.40000,1.00000
combined_long_horizon,no_aisle_cost,7,10,0.00000,1.00000,0.30000,1.00000
combined_long_horizon,no_occlusion_cost,0,10,0.00000,1.00000,0.40000,1.00000
combined_long_horizon,no_occlusion_cost,1,10,0.00000,1.00000,0.20000,1.00000
combined_long_horizon,no_occlusion_cost,2,10,0.00000,1.00000,0.20000,1.00000
combined_long_horizon,no_occlusion_cost,3,10,0.00000,1.00000,0.30000,1.00000
combined_long_horizon,no_occlusion_cost,4,10,0.00000,1.00000,0.30000,1.00000
combined_long_horizon,no_occlusion_cost,5,10,0.00000,1.00000,0.20000,1.00000
combined_long_horizon,no_occlusion_cost,6,10,0.00000,1.00000,0.40000,1.00000
combined_long_horizon,no_occlusion_cost,7,10,0.00000,1.00000,0.30000,1.00000
combined_long_horizon,oracle_handoff,0,10,0.00000,1.00000,0.40000,1.00000
combined_long_horizon,oracle_handoff,1,10,0.00000,1.00000,0.20000,1.00000
combined_long_horizon,oracle_handoff,2,10,0.00000,1.00000,0.20000,1.00000
combined_long_horizon,oracle_handoff,3,10,0.00000,1.00000,0.30000,1.00000
combined_long_horizon,oracle_handoff,4,10,0.00000,1.00000,0.30000,1.00000
combined_long_horizon,oracle_handoff,5,10,0.00000,1.00000,0.20000,1.00000
combined_long_horizon,oracle_handoff,6,10,0.00000,1.00000,0.40000,1.00000
combined_long_horizon,oracle_handoff,7,10,0.00000,1.00000,0.30000,1.00000
adversarial_dead_end,spatial_commitment_v5_full,0,10,0.00000,1.00000,0.00000,1.00000
adversarial_dead_end,spatial_commitment_v5_full,1,10,0.00000,1.00000,0.00000,1.00000
adversarial_dead_end,spatial_commitment_v5_full,2,10,0.00000,1.00000,0.00000,1.00000
adversarial_dead_end,spatial_commitment_v5_full,3,10,0.00000,1.00000,0.00000,1.00000
adversarial_dead_end,spatial_commitment_v5_full,4,10,0.00000,1.00000,0.00000,1.00000
adversarial_dead_end,spatial_commitment_v5_full,5,10,0.00000,1.00000,0.00000,1.00000
adversarial_dead_end,spatial_commitment_v5_full,6,10,0.00000,1.00000,0.00000,1.00000
adversarial_dead_end,spatial_commitment_v5_full,7,10,0.00000,1.00000,0.00000,1.00000
adversarial_dead_end,no_future_loss,0,10,0.00000,1.00000,0.00000,1.00000
adversarial_dead_end,no_future_loss,1,10,0.00000,1.00000,0.00000,1.00000
adversarial_dead_end,no_future_loss,2,10,0.00000,1.00000,0.00000,1.00000
adversarial_dead_end,no_future_loss,3,10,0.00000,1.00000,0.00000,1.00000
adversarial_dead_end,no_future_loss,4,10,0.00000,1.00000,0.00000,1.00000
adversarial_dead_end,no_future_loss,5,10,0.00000,1.00000,0.00000,1.00000
adversarial_dead_end,no_future_loss,6,10,0.00000,1.00000,0.00000,1.00000
adversarial_dead_end,no_future_loss,7,10,0.00000,1.00000,0.00000,1.00000
adversarial_dead_end,no_commitment_state,0,10,0.00000,1.00000,0.00000,1.00000
adversarial_dead_end,no_commitment_state,1,10,0.00000,1.00000,0.00000,1.00000
adversarial_dead_end,no_commitment_state,2,10,0.00000,1.00000,0.00000,1.00000
