split,method,metric,mean,ci95,seeds,episodes_per_seed
aggregate_hard_regime,greedy_current_reach,success,0.22500,0.01069,8,60
aggregate_hard_regime,greedy_current_reach,task_success_rate,0.41417,0.00752,8,60
aggregate_hard_regime,greedy_current_reach,future_regret,0.77500,0.01069,8,60
aggregate_hard_regime,greedy_current_reach,commitment_violation,0.22500,0.01512,8,60
aggregate_hard_regime,greedy_current_reach,base_collision,0.00000,0.00000,8,60
aggregate_hard_regime,greedy_current_reach,arm_collision,0.00000,0.00000,8,60
aggregate_hard_regime,greedy_current_reach,swing_block,0.00000,0.00000,8,60
aggregate_hard_regime,greedy_current_reach,approach_occlusion,0.00000,0.00000,8,60
aggregate_hard_regime,greedy_current_reach,reposition_count,1.25417,0.03367,8,60
aggregate_hard_regime,greedy_current_reach,path_length,0.85921,0.02407,8,60
aggregate_hard_regime,navigation_then_manipulation,success,0.20000,0.00000,8,60
aggregate_hard_regime,navigation_then_manipulation,task_success_rate,0.30625,0.00865,8,60
aggregate_hard_regime,navigation_then_manipulation,future_regret,0.44375,0.02757,8,60
aggregate_hard_regime,navigation_then_manipulation,commitment_violation,0.05208,0.00964,8,60
aggregate_hard_regime,navigation_then_manipulation,base_collision,0.00000,0.00000,8,60
aggregate_hard_regime,navigation_then_manipulation,arm_collision,0.31041,0.01504,8,60
aggregate_hard_regime,navigation_then_manipulation,swing_block,0.00000,0.00000,8,60
aggregate_hard_regime,navigation_then_manipulation,approach_occlusion,0.00000,0.00000,8,60
aggregate_hard_regime,navigation_then_manipulation,reposition_count,0.80208,0.03675,8,60
aggregate_hard_regime,navigation_then_manipulation,path_length,0.45367,0.02180,8,60
aggregate_hard_regime,reachability_margin_sampler,success,0.21458,0.00740,8,60
aggregate_hard_regime,reachability_margin_sampler,task_success_rate,0.41198,0.00891,8,60
aggregate_hard_regime,reachability_margin_sampler,future_regret,0.78541,0.00740,8,60
aggregate_hard_regime,reachability_margin_sampler,commitment_violation,0.22708,0.01504,8,60
aggregate_hard_regime,reachability_margin_sampler,base_collision,0.00000,0.00000,8,60
aggregate_hard_regime,reachability_margin_sampler,arm_collision,0.00000,0.00000,8,60
aggregate_hard_regime,reachability_margin_sampler,swing_block,0.00000,0.00000,8,60
aggregate_hard_regime,reachability_margin_sampler,approach_occlusion,0.00000,0.00000,8,60
aggregate_hard_regime,reachability_margin_sampler,reposition_count,1.31667,0.03087,8,60
aggregate_hard_regime,reachability_margin_sampler,path_length,0.90225,0.02833,8,60
aggregate_hard_regime,receding_horizon_tamp,success,0.39375,0.00598,8,60
aggregate_hard_regime,receding_horizon_tamp,task_success_rate,0.45802,0.00913,8,60
aggregate_hard_regime,receding_horizon_tamp,future_regret,0.60625,0.00598,8,60
aggregate_hard_regime,receding_horizon_tamp,commitment_violation,0.05625,0.01058,8,60
aggregate_hard_regime,receding_horizon_tamp,base_collision,0.00000,0.00000,8,60
aggregate_hard_regime,receding_horizon_tamp,arm_collision,0.00000,0.00000,8,60
aggregate_hard_regime,receding_horizon_tamp,swing_block,0.00000,0.00000,8,60
aggregate_hard_regime,receding_horizon_tamp,approach_occlusion,0.00000,0.00000,8,60
aggregate_hard_regime,receding_horizon_tamp,reposition_count,1.46250,0.03989,8,60
aggregate_hard_regime,receding_horizon_tamp,path_length,1.19841,0.05287,8,60
aggregate_hard_regime,commitment_cost_planner_v4,success,0.31042,0.02220,8,60
aggregate_hard_regime,commitment_cost_planner_v4,task_success_rate,0.43594,0.00979,8,60
aggregate_hard_regime,commitment_cost_planner_v4,future_regret,0.68958,0.02220,8,60
aggregate_hard_regime,commitment_cost_planner_v4,commitment_violation,0.05625,0.01058,8,60
aggregate_hard_regime,commitment_cost_planner_v4,base_collision,0.00000,0.00000,8,60
aggregate_hard_regime,commitment_cost_planner_v4,arm_collision,0.00000,0.00000,8,60
aggregate_hard_regime,commitment_cost_planner_v4,swing_block,0.00000,0.00000,8,60
aggregate_hard_regime,commitment_cost_planner_v4,approach_occlusion,0.00000,0.00000,8,60
aggregate_hard_regime,commitment_cost_planner_v4,reposition_count,1.37292,0.03543,8,60
aggregate_hard_regime,commitment_cost_planner_v4,path_length,1.04248,0.03836,8,60
aggregate_hard_regime,rollout_mpc_depth2,success,0.39375,0.00598,8,60
aggregate_hard_regime,rollout_mpc_depth2,task_success_rate,0.45802,0.00913,8,60
aggregate_hard_regime,rollout_mpc_depth2,future_regret,0.60625,0.00598,8,60
aggregate_hard_regime,rollout_mpc_depth2,commitment_violation,0.05625,0.01058,8,60
aggregate_hard_regime,rollout_mpc_depth2,base_collision,0.00000,0.00000,8,60
aggregate_hard_regime,rollout_mpc_depth2,arm_collision,0.00000,0.00000,8,60
aggregate_hard_regime,rollout_mpc_depth2,swing_block,0.00000,0.00000,8,60
aggregate_hard_regime,rollout_mpc_depth2,approach_occlusion,0.00000,0.00000,8,60
aggregate_hard_regime,rollout_mpc_depth2,reposition_count,1.46250,0.03989,8,60
aggregate_hard_regime,rollout_mpc_depth2,path_length,1.19841,0.05287,8,60
aggregate_hard_regime,beam_search_sequence_planner,success,0.39375,0.00598,8,60
aggregate_hard_regime,beam_search_sequence_planner,task_success_rate,0.45802,0.00913,8,60
aggregate_hard_regime,beam_search_sequence_planner,future_regret,0.60625,0.00598,8,60
aggregate_hard_regime,beam_search_sequence_planner,commitment_violation,0.05625,0.01058,8,60
aggregate_hard_regime,beam_search_sequence_planner,base_collision,0.00000,0.00000,8,60
aggregate_hard_regime,beam_search_sequence_planner,arm_collision,0.00000,0.00000,8,60
aggregate_hard_regime,beam_search_sequence_planner,swing_block,0.00000,0.00000,8,60
aggregate_hard_regime,beam_search_sequence_planner,approach_occlusion,0.00000,0.00000,8,60
aggregate_hard_regime,beam_search_sequence_planner,reposition_count,1.46042,0.03950,8,60
aggregate_hard_regime,beam_search_sequence_planner,path_length,1.20347,0.05250,8,60
aggregate_hard_regime,topological_base_graph_search,success,0.39375,0.00598,8,60
aggregate_hard_regime,topological_base_graph_search,task_success_rate,0.45802,0.00913,8,60
aggregate_hard_regime,topological_base_graph_search,future_regret,0.60625,0.00598,8,60
aggregate_hard_regime,topological_base_graph_search,commitment_violation,0.05625,0.01058,8,60
aggregate_hard_regime,topological_base_graph_search,base_collision,0.00000,0.00000,8,60
aggregate_hard_regime,topological_base_graph_search,arm_collision,0.00000,0.00000,8,60
aggregate_hard_regime,topological_base_graph_search,swing_block,0.00000,0.00000,8,60
aggregate_hard_regime,topological_base_graph_search,approach_occlusion,0.00000,0.00000,8,60
aggregate_hard_regime,topological_base_graph_search,reposition_count,1.44583,0.04221,8,60
aggregate_hard_regime,topological_base_graph_search,path_length,1.17213,0.04929,8,60
aggregate_hard_regime,robust_backtracking_tamp,success,0.39583,0.00535,8,60
aggregate_hard_regime,robust_backtracking_tamp,task_success_rate,0.45854,0.00880,8,60
aggregate_hard_regime,robust_backtracking_tamp,future_regret,0.60417,0.00535,8,60
aggregate_hard_regime,robust_backtracking_tamp,commitment_violation,0.05417,0.00817,8,60
aggregate_hard_regime,robust_backtracking_tamp,base_collision,0.00000,0.00000,8,60
aggregate_hard_regime,robust_backtracking_tamp,arm_collision,0.00000,0.00000,8,60
aggregate_hard_regime,robust_backtracking_tamp,swing_block,0.00000,0.00000,8,60
aggregate_hard_regime,robust_backtracking_tamp,approach_occlusion,0.00000,0.00000,8,60
